date,number_of_tweets
2020-01-01,1
2020-01-02,2
2020-01-03,6
2020-01-04,2
2020-01-05,5
2020-01-06,3
2020-01-07,8
2020-01-08,6
2020-01-09,3
2020-01-10,2
2020-01-11,8
2020-01-12,1
2020-01-13,4
2020-01-14,19
2020-01-15,4
2020-01-16,8
2020-01-17,5
2020-01-18,29
2020-01-19,17
2020-01-20,2
2020-01-21,3
2020-01-23,2
2020-01-24,2
2020-01-26,8
2020-01-27,10
2020-01-28,2
2020-01-29,11
2020-01-30,9
2020-01-31,6
2020-02-02,1
2020-02-03,5
2020-02-04,9
2020-02-05,4
2020-02-06,4
2020-02-07,3
2020-02-08,8
2020-02-10,6
2020-02-11,2
2020-02-12,2
2020-02-13,11
2020-02-14,1
2020-02-15,4
2020-02-16,15
2020-02-17,21
2020-02-18,7
2020-02-19,11
2020-02-20,9
2020-02-21,9
2020-02-22,6
2020-02-23,6
2020-02-24,9
2020-02-25,9
2020-02-26,3
2020-02-27,6
2020-02-29,3
2020-03-01,4
2020-03-02,7
2020-03-03,4
2020-03-04,7
2020-03-05,3
2020-03-06,1
2020-03-08,6
2020-03-09,3
2020-03-10,3
2020-03-11,1
2020-03-12,5
2020-03-13,2
2020-03-15,1
2020-03-16,15
2020-03-17,4
2020-03-18,3
2020-03-22,1
2020-03-23,9
2020-03-24,5
2020-03-25,3
2020-03-26,14
2020-03-27,3
2020-03-28,5
2020-03-30,16
2020-03-31,6
2020-04-01,2
2020-04-02,4
2020-04-03,8
2020-04-04,2
2020-04-06,6
2020-04-07,5
2020-04-08,14
2020-04-09,9
2020-04-10,5
2020-04-11,8
2020-04-12,1
2020-04-13,2
2020-04-14,5
2020-04-15,1
2020-04-16,5
2020-04-17,7
2020-04-18,6
2020-04-19,3
2020-04-20,10
2020-04-21,7
2020-04-22,10
2020-04-23,10
2020-04-24,16
2020-04-25,3
2020-04-26,1
2020-04-27,13
2020-04-28,10
2020-04-29,4
2020-04-30,1
2020-05-01,7
2020-05-02,1
2020-05-03,2
2020-05-04,9
2020-05-05,8
2020-05-06,7
2020-05-07,7
2020-05-08,9
2020-05-09,10
2020-05-10,5
2020-05-11,7
2020-05-12,8
2020-05-13,14
2020-05-14,12
2020-05-15,4
2020-05-16,4
2020-05-17,3
2020-05-18,4
2020-05-19,3
2020-05-20,7
2020-05-21,3
2020-05-22,4
2020-05-23,4
2020-05-24,6
2020-05-25,18
2020-05-26,5
2020-05-27,3
2020-05-28,8
2020-05-29,5
2020-05-30,10
2020-06-01,28
2020-06-02,22
2020-06-03,14
2020-06-04,12
2020-06-05,10
2020-06-06,2
2020-06-08,14
2020-06-09,8
2020-06-10,11
2020-06-11,2
2020-06-12,14
2020-06-13,6
2020-06-14,8
2020-06-15,28
2020-06-16,8
2020-06-17,26
2020-06-18,18
2020-06-19,12
2020-06-22,20
2020-06-23,6
2020-06-24,10
2020-06-25,14
2020-06-26,6
2020-06-27,2
2020-06-28,2
2020-06-29,16
2020-06-30,16
2020-07-01,14
2020-07-02,6
2020-07-03,6
2020-07-04,4
2020-07-06,14
2020-07-07,14
2020-07-08,20
2020-07-09,24
2020-07-11,6
2020-07-12,8
2020-07-13,4
2020-07-14,17
2020-07-15,6
2020-07-16,6
2020-07-17,4
2020-07-20,8
2020-07-21,10
2020-07-22,6
2020-07-23,2
2020-07-24,12
2020-07-27,16
2020-07-28,26
2020-07-29,20
2020-07-30,10
2020-07-31,2
2020-08-01,2
2020-08-03,10
2020-08-04,10
2020-08-05,14
2020-08-06,2
2020-08-07,14
2020-08-08,8
2020-08-10,12
2020-08-11,8
2020-08-12,10
2020-08-13,4
2020-08-14,14
2020-08-15,6
2020-08-16,12
2020-08-17,24
2020-08-18,8
2020-08-19,20
2020-08-20,4
2020-08-21,10
2020-08-22,6
2020-08-23,4
2020-08-24,14
2020-08-25,12
2020-08-28,8
2020-08-29,14
2020-08-30,2
2020-08-31,18
2020-09-01,22
2020-09-02,14
2020-09-03,22
2020-09-04,10
2020-09-06,4
2020-09-07,4
2020-09-08,4
2020-09-09,16
2020-09-10,18
2020-09-11,14
2020-09-12,2
2020-09-13,4
2020-09-14,8
2020-09-15,33
2020-09-16,14
2020-09-17,18
2020-09-18,8
2020-09-19,12
2020-09-20,4
2020-09-21,14
2020-09-22,24
2020-09-23,8
2020-09-24,8
2020-09-25,12
2020-09-27,12
2020-09-28,12
2020-09-29,20
2020-09-30,12
2020-10-01,7
2020-10-02,12
2020-10-03,2
2020-10-04,2
2020-10-05,8
2020-10-06,10
2020-10-07,16
2020-10-08,16
2020-10-09,14
2020-10-10,20
2020-10-11,12
2020-10-12,8
2020-10-13,18
2020-10-14,57
2020-10-15,14
