date,likes_count
2020-01-01,15
2020-01-02,3
2020-01-04,14
2020-01-06,7
2020-01-08,1
2020-01-09,2
2020-01-10,7
2020-01-11,75
2020-01-12,0
2020-01-13,49
2020-01-14,33
2020-01-15,4
2020-01-16,9
2020-01-17,6
2020-01-18,109
2020-01-20,103
2020-01-21,3
2020-01-22,50
2020-01-23,41
2020-01-24,5
2020-01-25,67
2020-01-26,4
2020-01-27,622
2020-01-28,3
2020-01-29,544
2020-01-30,37
2020-02-01,264
2020-02-02,31
2020-02-03,110
2020-02-04,376
2020-02-05,61
2020-02-06,49
2020-02-08,93
2020-02-09,5
2020-02-10,4
2020-02-11,49
2020-02-12,86
2020-02-13,131
2020-02-15,86
2020-02-16,117
2020-02-17,9
2020-02-18,117
2020-02-19,2
2020-02-20,216
2020-02-21,50
2020-02-22,76
2020-02-23,12
2020-02-24,81
2020-02-25,6
2020-02-26,51
2020-02-28,10
2020-02-29,65
2020-03-01,135
2020-03-02,111
2020-03-03,15
2020-03-04,4
2020-03-05,8
2020-03-06,110
2020-03-07,13
2020-03-08,185
2020-03-10,54
2020-03-11,163
2020-03-12,14
2020-03-13,9
2020-03-14,36
2020-03-15,45
2020-03-16,2
2020-03-18,6
2020-03-19,103
2020-03-20,105
2020-03-23,2
2020-03-28,58
2020-03-29,8
2020-03-30,38
2020-03-31,2
2020-04-05,134
2020-04-09,58
2020-04-10,48
2020-04-15,3
2020-04-16,25
2020-04-17,120
2020-04-21,97
2020-04-22,39
2020-04-23,4
2020-04-24,25
2020-04-26,23
2020-04-27,86
2020-04-29,4
2020-05-01,135
2020-05-02,52
2020-05-03,140
2020-05-04,12
2020-05-05,54
2020-05-07,9
2020-05-09,20
2020-05-12,98
2020-05-15,20
2020-05-16,40
2020-05-17,107
2020-05-18,3
2020-05-22,14
2020-05-23,16
2020-05-24,7
2020-05-25,3
2020-05-26,8
2020-05-31,2
2020-06-01,4
2020-06-02,24
2020-06-03,0
2020-06-04,102
2020-06-05,46
2020-06-06,12
2020-06-07,0
2020-06-08,0
2020-06-09,34
2020-06-10,16
2020-06-11,8
2020-06-12,0
2020-06-13,30
2020-06-14,10
2020-06-15,0
2020-06-16,0
2020-06-17,20
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-22,16
2020-06-23,20
2020-06-24,0
2020-06-25,0
2020-06-28,0
2020-06-30,28
2020-07-01,32
2020-07-02,18
2020-07-03,20
2020-07-05,10
2020-07-06,6
2020-07-07,24
2020-07-08,30
2020-07-09,0
2020-07-10,0
2020-07-12,0
2020-07-13,18
2020-07-14,28
2020-07-15,18
2020-07-16,14
2020-07-17,6
2020-07-18,10
2020-07-20,0
2020-07-21,6
2020-07-22,4
2020-07-24,0
2020-07-26,10
2020-07-27,6
2020-07-28,14
2020-07-29,6
2020-07-30,4
2020-07-31,24
2020-08-01,0
2020-08-02,0
2020-08-03,14
2020-08-04,12
2020-08-05,0
2020-08-06,0
2020-08-07,4
2020-08-09,6
2020-08-10,2
2020-08-11,0
2020-08-12,8
2020-08-13,0
2020-08-14,16
2020-08-15,0
2020-08-17,16
2020-08-19,0
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-24,0
2020-08-25,0
2020-08-26,0
2020-08-27,0
2020-08-28,6
2020-08-30,22
2020-08-31,32
2020-09-02,2
2020-09-03,34
2020-09-04,14
2020-09-07,2
2020-09-08,0
2020-09-09,14
2020-09-10,14
2020-09-12,10
2020-09-13,0
2020-09-14,44
2020-09-15,423
2020-09-16,0
2020-09-17,20
2020-09-18,0
2020-09-19,18
2020-09-20,8
2020-09-21,34
2020-09-22,8
2020-09-23,0
2020-09-24,6
2020-09-25,20
2020-09-27,32
2020-09-28,36
2020-09-29,32
2020-09-30,0
2020-10-01,0
2020-10-02,16
2020-10-04,26
2020-10-05,40
2020-10-06,20
2020-10-07,20
2020-10-08,0
2020-10-09,38
2020-10-10,0
2020-10-11,0
2020-10-12,0
2020-10-13,0
2020-10-14,0
