date,number_of_tweets
2020-01-01,1
2020-01-02,1
2020-01-04,2
2020-01-06,1
2020-01-08,1
2020-01-09,1
2020-01-10,2
2020-01-11,6
2020-01-12,1
2020-01-13,5
2020-01-14,2
2020-01-15,2
2020-01-16,1
2020-01-17,1
2020-01-18,2
2020-01-20,6
2020-01-21,1
2020-01-22,2
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,4
2020-01-28,1
2020-01-29,3
2020-01-30,1
2020-02-01,50
2020-02-02,28
2020-02-03,5
2020-02-04,2
2020-02-05,45
2020-02-06,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,4
2020-02-13,3
2020-02-15,1
2020-02-16,5
2020-02-17,1
2020-02-18,4
2020-02-19,1
2020-02-20,2
2020-02-21,3
2020-02-22,3
2020-02-23,1
2020-02-24,2
2020-02-25,1
2020-02-26,1
2020-02-28,2
2020-02-29,3
2020-03-01,6
2020-03-02,5
2020-03-03,3
2020-03-04,1
2020-03-05,2
2020-03-06,2
2020-03-07,1
2020-03-08,5
2020-03-10,2
2020-03-11,2
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,2
2020-03-16,1
2020-03-18,1
2020-03-19,1
2020-03-20,3
2020-03-23,1
2020-03-28,1
2020-03-29,2
2020-03-30,1
2020-03-31,2
2020-04-05,2
2020-04-09,2
2020-04-10,1
2020-04-15,1
2020-04-16,2
2020-04-17,3
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-26,1
2020-04-27,2
2020-04-29,1
2020-05-01,2
2020-05-02,1
2020-05-03,2
2020-05-04,2
2020-05-05,1
2020-05-07,1
2020-05-09,2
2020-05-12,3
2020-05-15,3
2020-05-16,3
2020-05-17,2
2020-05-18,1
2020-05-22,1
2020-05-23,2
2020-05-24,2
2020-05-25,1
2020-05-26,1
2020-05-31,1
2020-06-01,2
2020-06-02,2
2020-06-04,2
2020-06-05,6
2020-06-06,2
2020-06-09,4
2020-06-10,2
2020-06-11,2
2020-06-13,2
2020-06-14,2
2020-06-17,2
2020-06-22,6
2020-06-23,2
2020-06-30,4
2020-07-01,8
2020-07-02,4
2020-07-03,2
2020-07-05,2
2020-07-06,2
2020-07-07,2
2020-07-08,4
2020-07-13,4
2020-07-14,2
2020-07-15,4
2020-07-16,4
2020-07-17,2
2020-07-18,2
2020-07-21,2
2020-07-22,2
2020-07-26,2
2020-07-27,2
2020-07-28,4
2020-07-29,2
2020-07-30,2
2020-07-31,4
2020-08-03,2
2020-08-04,4
2020-08-07,2
2020-08-09,2
2020-08-10,2
2020-08-12,2
2020-08-14,2
2020-08-17,2
2020-08-28,2
2020-08-30,4
2020-08-31,2
2020-09-02,2
2020-09-03,4
2020-09-04,2
2020-09-07,2
2020-09-09,6
2020-09-10,2
2020-09-12,2
2020-09-14,6
2020-09-15,4
2020-09-17,2
2020-09-19,2
2020-09-20,2
2020-09-21,4
2020-09-22,2
2020-09-24,2
2020-09-25,4
2020-09-27,2
2020-09-28,2
2020-09-29,4
2020-10-02,2
2020-10-04,2
2020-10-05,6
2020-10-06,2
2020-10-07,4
2020-10-09,4
